"","combined_pvalue","adjusted_pvalue"
"Snx18",6.56123411157949e-08,2.44290751619566e-05
"Arpc2",0.121815939004328,1
"Eif4g1",0.427513096877121,1
"Ago2",0.349330175440924,1
"Parp6",0.0164624347656528,1
"Il17d",0.149053153170447,1
"Camk4",3.31218386051546e-12,2.98356495857921e-09
"B4galnt1",0.0889924740752241,1
"Larp6",0.633263437621806,1
"Taf1",0.594000393271026,1
"Ddost",0.459661713763458,1
"Hsp90ab1",0.248206771873375,1
"Ddx5",0.0024210784962761,0.26002689939903
"Ndufv3",0.00182832889532902,0.208630061840983
"Casp2",0.333178757162625,1
"Prmt1",0.0683792592555853,1
"Kcnv1",0.586054857020182,1
"Sec61g",0.495372798915001,1
"Bmyc",0.461648541139416,1
"Prdx3",0.0803305344120958,1
"Gid4",0.0819300099101111,1
"Rrp9",0.602617111217674,1
"Zfand3",0.409073449767322,1
"Bcan",6.62481403068682e-09,3.08322483883054e-06
"Supt6",0.0757121391979036,1
"Wbp11",0.968731937821203,1
"Ppil4",0.341526684690968,1
"Cnp",0.0361877688162249,1
"Chd6",0.0622444295210894,1
"Uqcrc1",0.0169590071539831,1
"Zfp644",0.0263498795595419,1
"Baalc",0.0077017890858217,0.64536323093052
"Fam107b",0.232530025115655,1
"Slc39a7",0.784547413729173,1
"Pabpn1",0.131455436464641,1
"Atl2",0.210747073058119,1
"Lrrc7",0.493754824871137,1
"Cgrrf1",0.31918258138315,1
"St8sia5",0.568161766890233,1
"Evi5",0.138022241238362,1
"Pcyt1b",0.510742520513103,1
"Tfcp2l1",0.139731846832696,1
"Otud7b",0.262829982099504,1
"Lsm4",0.350078476356597,1
"Psmd10",0.66621391510412,1
"Tbrg4",0.824853142748608,1
"Ptpn23",0.891731959497059,1
"Jmjd8",0.66058519370058,1
"Ptpmt1",0.759979734800682,1
"Dnajc28",0.490257749334586,1
"Rpf2",0.0693220647395082,1
"Ret",0.0110542331954064,0.848027612327232
"Gtf2f1",0.0385836377428319,1
"Gdi1",0.975437304948634,1
"Mycbp",0.137281562352669,1
"Eid2",0.126704326344431,1
"Apoo",0.297927530207459,1
"Cdc5l",0.800674990234894,1
"Wdr35",0.225271312195731,1
"Skp1a",0.454662656194699,1
"Sfxn5",0.00232511118534973,0.252144353497231
"Aggf1",0.269416856895682,1
"Rab10",0.818018686266731,1
"Polr1d",0.14287175994716,1
"Lpgat1",0.229996531833258,1
"Ipcef1",0.00165436526501439,0.193293058111575
"Rab3gap2",0.268497463561256,1
"Cyhr1",0.488710775331623,1
"Lrp10",0.27032677862111,1
"Penk",5.55111512312578e-17,2.21444525966628e-13
"Cacna1a",0.40386698837713,1
"Atxn2l",0.514737863179098,1
"Lemd3",0.444545018330881,1
"Osbpl9",0.150929543341191,1
"Mgat1",0.00784241072801817,0.656161982888091
"Ankrd34a",0.436988102570745,1
"Lnp",0.00118407384925007,0.145338322642358
"Zfp287",0.0433648062637497,1
"Tmtc4",0.724401262940824,1
"Gspt1",0.00132077096620908,0.160541186432858
"Tspan17",0.395076865439093,1
"Mrpl42",0.350318378817533,1
"Flna",0.069196228910431,1
"Sfpq",0.393507720550559,1
"Grcc10",0.59918914624407,1
"Tmbim4",0.200452720958481,1
"Wdr13",0.07077208380239,1
"Tceb2",0.275781962677635,1
"Gart",0.157478539780104,1
"Akap12",1.04967745606643e-09,5.95158156851143e-07
"Riok3",0.512140986177769,1
"Atp11c",0.470654515535278,1
"Acap2",0.505476112573566,1
"Kat6b",0.207970594443847,1
"Impact",0.230426118741635,1
"Atp6v1c1",0.190672937628751,1
"Bend6",0.964066139186551,1
"Rsl1d1",0.0406668849407522,1
"Timm44",0.0584484286755846,1
"Rspo3",0.136872707338957,1
"Pskh1",0.380138124119355,1
"Timm10",0.256948274290828,1
"Frzb",8.32667268468867e-16,1.5501116817664e-12
"Rapgefl1",0.0204470807593249,1
"Cxcl14",0.151238023186259,1
"Synj2bp",0.465436581126271,1
"Srgap2",0.0281550247524628,1
"Ccdc30",0.865549309843942,1
"Cep97",0.365758503130037,1
"Tnpo3",0.627318275372179,1
"B3gat2",0.665630021342451,1
"2900097C17Rik",1.68399805378083e-07,5.63167864050842e-05
"Ccnl2",0.400694790391498,1
"Gabpa",0.602652370169507,1
"Hspa5",0.20915719042258,1
"Svip",0.206729960238837,1
"Itm2c",0.0712159370948462,1
"Cic",0.0217199387235694,1
"Dnajc8",0.323977969035402,1
"Atxn2",0.521224298904833,1
"Luc7l2",0.852469079359654,1
"Pi4ka",0.00972754942733078,0.769098084873654
"Exoc7",0.527858272179626,1
"Rnf11",0.387633276346474,1
"Lrba",0.0910340830307793,1
"Eef1a2",3.9226524802094e-05,0.00771390427071502
"Trim9",1.37752625312126e-05,0.00304685125408762
"Asic1",0.545219371876268,1
"Strn3",0.447928911206959,1
"Zfp804a",0.0253403832402107,1
"Cited2",0.322520969020802,1
"6330403K07Rik",0.0430964705322339,1
"Cbln4",3.05454654669357e-05,0.00620335741493682
"Nt5m",0.124595367586494,1
"Mpped2",0.830728747879027,1
"Map1a",0.000911649869241804,0.115737809568281
"Ap3d1",0.845767510473897,1
"Klhl9",0.764087998047694,1
"Lace1",0.578439964004865,1
"Trpc3",0.424857033379261,1
"Eef2",0.240714532474462,1
"Chn1",0.00868442961333021,0.711163855267253
"Tmem40",0.00291250715358099,0.300664730610897
"Mll5",0.0217991522951687,1
"Zfp354c",0.34029290867167,1
